size,version,model construction,states,transitions,value,time
5,prism,4.026,21366,55743,0.12278088883593472,0.375
5,poly,32.258,21594,117927,0.739784,0.703
6,prism,3.725,28806,75591,0.16370785178124628,0.575
6,poly,51.935,29100,159315,0.934712,1.201
7,prism,5.255,36192,95385,0.20463481472655784,0.917
7,poly,75.532,36552,200649,1.12964,1.642
8,prism,5.424,43578,115179,0.20463481472655784,1.38
8,poly,74.912,44004,241983,1.28464,1.722
9,prism,6.172,50964,134973,0.2455617776718694,1.476
9,poly,114.909,51456,283317,1.479568,2.531
10,prism,8.151,58350,154767,0.286488740617181,2.188
10,poly,94.666,58908,324651,1.674496,3.233
11,prism,9.663,65736,174561,0.286488740617181,2.559
11,poly,119.107,66360,365985,1.829496,4.259
12,prism,11.607,73122,194355,0.32741570356249255,3.21
12,poly,109.356,73812,407319,2.024424,3.774
13,prism,10.183,80508,214149,0.3683426665078041,4.124
13,poly,112.313,81264,448653,2.2193519999999998,4.794
14,prism,10.787,87894,233943,0.3683426665078041,4.208
14,poly,124.472,88716,489987,2.374352,5.858
15,prism,11.71,95280,253737,0.40926962945311574,4.597
15,poly,131.793,96168,531321,2.5692799999999996,6.755
