network uncertainty,mimicry_factor,strat,model construction,states,transitions,value,time
0,0.1,nofix,3.101,1504,9301,1.15624,0.281
0,0.1,ftr,13.504,5740,32085,1.05172,0.806
0,0.1,rnd,8.941,5113,30516,1.1562400000000002,0.572
0,0.1,agr,12.581,5113,29556,1.109484,0.793
0,0.1,agf,44.454,19003,97886,0.8572840000000002,1.754
0,0.1,rdr,32.906,17158,95863,1.109484,1.537
0,0.2,nofix,2.617,1504,8989,1.4082400000000002,0.126
0,0.2,ftr,11.138,5740,31149,1.30372,0.779
0,0.2,rnd,8.709,5113,29580,1.4082400000000002,0.429
0,0.2,agr,6.987,5113,28620,1.3614840000000004,0.319
0,0.2,agf,33.911,19003,95078,1.109284,2.059
0,0.2,rdr,32.08,17158,93055,1.3614840000000004,1.862
0,0.3,nofix,5.061,1504,9613,1.6602399999999995,0.166
0,0.3,ftr,15.758,5740,32709,1.5557200000000004,1.133
0,0.3,rnd,13.416,5113,30828,1.6602399999999995,0.516
0,0.3,agr,9.553,5113,30786,1.6134840000000006,0.728
0,0.3,agf,34.629,19003,100639,1.3612840000000004,1.637
0,0.3,rdr,30.968,17158,98029,1.6134840000000006,1.41
0,0.4,nofix,2.735,1504,9613,1.9122400000000004,0.209
0,0.4,ftr,11.705,5740,32709,1.80772,0.774
0,0.4,rnd,10.608,5113,30828,1.9122400000000004,0.583
0,0.4,agr,8.461,5113,30828,1.8654840000000004,0.577
0,0.4,agf,36.025,19003,101361,1.6132840000000002,1.971
0,0.4,rdr,51.935,17158,98071,1.8654840000000004,2.217
0,0.5,nofix,5.381,1504,9925,2.1642400000000013,0.209
0,0.5,ftr,19.508,5740,33645,2.0597200000000004,1.161
0,0.5,rnd,13.346,5113,31764,2.1642400000000013,0.374
0,0.5,agr,15.63,5113,31764,2.117484,1.205
0,0.5,agf,51.638,19003,103896,1.865284,2.053
0,0.5,rdr,46.577,17158,100879,2.1174839999999997,1.599
0,0.6,nofix,5.569,1504,9925,2.41624,0.151
0,0.6,ftr,19.546,5740,33645,2.3117199999999998,0.837
0,0.6,rnd,16.902,5113,31764,2.41624,0.54
0,0.6,agr,10.861,5113,31764,2.369484,0.431
0,0.6,agf,63.09,19003,104169,2.117284,3.976
0,0.6,rdr,34.471,17158,100879,2.369484,1.405
0,0.7,nofix,3.089,1504,9925,2.66824,0.13
0,0.7,ftr,19.229,5740,33645,2.5637199999999996,1.025
0,0.7,rnd,16.732,5113,31764,2.66824,0.488
0,0.7,agr,13.962,5113,31764,2.6214840000000006,0.598
0,0.7,agf,52.342,19003,104247,2.369284,2.477
0,0.7,rdr,52.319,17158,100879,2.6214840000000006,1.64
0,0.8,nofix,5.387,1504,9925,2.9202399999999997,0.152
0,0.8,ftr,18.482,5740,33645,2.8157199999999993,0.831
0,0.8,rnd,14.807,5113,31764,2.92024,0.944
0,0.8,agr,18.626,5113,31764,2.8734839999999995,0.612
0,0.8,agf,72.818,19003,104286,2.621284,4.135
0,0.8,rdr,57.055,17158,100879,2.873484000000001,1.701
0,0.9,nofix,4.031,1504,10237,3.17224,0.143
0,0.9,ftr,16.34,5740,34581,3.067720000000001,0.795
0,0.9,rnd,13.992,5113,32700,3.17224,0.825
0,0.9,agr,11.404,5113,32700,3.1254840000000006,0.554
0,0.9,agf,49.275,19003,106158,2.873284000000001,2.136
0,0.9,rdr,45.951,17158,103687,3.1254839999999993,1.609
0,1,nofix,3.571,1504,10237,3.4242399999999993,0.292
0,1,ftr,14.8,5740,34581,3.319720000000001,0.764
0,1,rnd,13.615,5113,32700,3.42424,0.574
0,1,agr,22.375,5113,32700,3.377484,0.635
0,1,agf,79.098,19003,106704,3.1360140000000025,2.808
0,1,rdr,49.682,17158,103687,3.377484000000001,2.433
