equation_solving,vertices_number,network uncertainty,mimicry_factor,strat,model construction,states,transitions,value,time
1.617607248000002,10,0.1,0,nofix,2.479,1504,9301,1.15624,0.136
1.679203088,10,0.1,0,ftr,11.585,5740,32085,1.05172,0.61
1.5049263770000034,10,0.1,0,rnd,8.278,5113,30516,1.1562400000000002,0.418
1.4632970209999994,10,0.1,0,agr,6.978,5113,29556,1.109484,0.408
1.4844804719999996,10,0.1,0,agf,34.307,19003,97886,0.8572840000000002,1.141
1.5368765189999989,10,0.1,0,rdr,25.902,17158,95863,1.109484,0.928
1.4251557109999986,10,0.2,0,nofix,2.276,1504,9613,1.3362399999999999,0.216
1.4946358739999999,10,0.2,0,ftr,9.647,5740,33021,1.2317200000000006,0.477
1.5574995909999965,10,0.2,0,rnd,8.64,5113,31452,1.33624,0.444
1.4819326689999957,10,0.2,0,agr,7.204,5113,30492,1.3054840000000003,0.388
1.4554934030000013,10,0.2,0,agf,30.756,19003,99134,1.0532840000000006,1.239
1.4780789890000001,10,0.2,0,rdr,27.914,17158,98671,1.3054840000000003,1.09
1.4697554700000002,10,0.3,0,nofix,2.658,1504,9886,1.51222,0.197
1.4390346229999995,10,0.3,0,ftr,11.616,5740,34113,1.4077000000000008,0.584
1.4756442300000014,10,0.3,0,rnd,10.046,5113,31647,1.51222,0.385
1.4242760759999975,10,0.3,0,agr,8.348,5113,30609,1.4974640000000006,0.402
1.4464168840000018,10,0.3,0,agf,37.444,19003,103034,1.2452640000000008,1.157
1.5189611859999976,10,0.3,0,rdr,32.229,17158,98086,1.4974640000000006,0.958
1.4529311990000002,10,0.4,0,nofix,2.756,1504,9521,1.6722200000000007,0.223
1.4650806849999958,10,0.4,0,ftr,11.469,5740,33603,1.5677000000000003,0.534
1.437066235999999,10,0.4,0,rnd,10.28,5113,30552,1.6722200000000011,0.473
1.4394403149999977,10,0.4,0,agr,9.129,5113,29059,1.6694600000000008,0.461
1.4818083029999978,10,0.4,0,agf,37.861,19003,103010,1.4172600000000002,1.2
1.547611741000003,10,0.4,0,rdr,32.742,17158,92722,1.6694600000000004,1.158
1.4837981360000008,10,0.5,0,nofix,2.562,1504,8897,1.83222,0.2
1.4341777909999975,10,0.5,0,ftr,10.92,5740,32979,1.7277000000000005,0.544
1.447895365,10,0.5,0,rnd,9.59,5113,28680,1.8322200000000006,0.419
1.4783606519999979,10,0.5,0,agr,8.651,5113,27187,1.8374600000000005,0.419
1.4679251020000013,10,0.5,0,agf,36.576,19003,102698,1.585260000000001,1.534
1.4954908119999961,10,0.5,0,rdr,32.459,17158,86755,1.837460000000001,1.137
1.5228603789999997,10,0.6,0,nofix,2.423,1504,8624,1.99222,0.203
1.461100141000001,10,0.6,0,ftr,10.14,5740,32979,1.8877000000000008,0.498
1.392388748000001,10,0.6,0,rnd,10.295,5113,27861,1.9922200000000005,0.639
1.4800302669999994,10,0.6,0,agr,7.837,5113,26290,2.005460000000001,0.397
1.4616540319999982,10,0.6,0,agf,32.977,19003,101567,1.7532600000000005,1.573
1.5110467659999998,10,0.6,0,rdr,29.591,17158,84415,2.0054600000000007,1.084
1.4513753589999985,10,0.7,0,nofix,2.317,1504,8526,2.1522200000000002,0.196
1.4308741050000016,10,0.7,0,ftr,9.715,5740,32569,2.0477000000000003,0.523
1.4841797469999967,10,0.7,0,rnd,8.787,5113,27665,2.1522200000000007,0.456
1.4593739530000012,10,0.7,0,agr,7.529,5113,25744,2.173456000000001,0.444
1.4498444640000026,10,0.7,0,agf,31.253,19003,99363,1.9212560000000014,1.146
1.4955435219999955,10,0.7,0,rdr,28.317,17158,82014,2.173456000000001,1.195
1.458903192999997,10,0.8,0,nofix,2.331,1504,7902,2.31222,0.127
1.4614299750000013,10,0.8,0,ftr,9.281,5740,32373,2.2077040000000006,0.566
1.4070357229999992,10,0.8,0,rnd,8.514,5113,26046,2.3122200000000013,0.441
1.4558346170000036,10,0.8,0,agr,7.016,5113,25050,2.341460000000001,0.424
1.4662064539999973,10,0.8,0,agf,29.979,19003,99055,2.089260000000001,1.29
1.5212077569999976,10,0.8,0,rdr,26.149,17158,80255,2.341460000000001,0.992
1.4081813529999994,10,0.9,0,nofix,2.35,1504,7902,2.472220000000001,0.12
1.4117394639999987,10,0.9,0,ftr,9.467,5740,32373,2.3677040000000007,0.52
1.4739182910000022,10,0.9,0,rnd,8.87,5113,26046,2.472224000000001,0.55
1.4889148660000002,10,0.9,0,agr,6.753,5113,24777,2.5094600000000016,0.399
1.4659905590000037,10,0.9,0,agf,30.184,19003,97807,2.2572600000000014,1.445
1.6616559289999981,10,0.9,0,rdr,26.74,17158,79709,2.509460000000001,1.064
1.4032893680000005,10,1,0,nofix,2.101,1504,7902,2.6322200000000002,0.124
1.4222531,10,1,0,ftr,8.744,5740,32217,2.5277040000000004,0.492
1.4524612089999993,10,1,0,rnd,7.82,5113,26046,2.632224000000001,0.37
1.4544346000000001,10,1,0,agr,7.318,5113,24328,2.6774600000000013,0.518
1.4960623159999982,10,1,0,agf,28.101,19003,95329,2.425260000000001,1.226
1.395942734999998,10,1,0,rdr,25.953,17158,78811,2.6774600000000017,1.046
