network uncertainty,mimicry_factor,strat,model construction,states,transitions,value,time
0.1,0,nofix,2.422,1504,9301,1.15624,0.209
0.1,0,ftr,10.654,5740,32085,1.05172,0.621
0.1,0,rnd,12.772,5113,30516,1.1562400000000002,0.61
0.1,0,agr,7.679,5113,29556,1.109484,0.527
0.1,0,agf,29.18,19003,97886,0.8572840000000002,1.199
0.1,0,rdr,26.552,17158,95863,1.109484,1.006
0.2,0,nofix,2.313,1504,9613,1.3362399999999999,0.212
0.2,0,ftr,9.616,5740,33021,1.2317200000000006,0.634
0.2,0,rnd,8.564,5113,31452,1.33624,0.453
0.2,0,agr,7.197,5113,30492,1.3054840000000003,0.484
0.2,0,agf,31.981,19003,99134,1.0532840000000006,1.164
0.2,0,rdr,28.556,17158,98671,1.3054840000000003,1.122
0.3,0,nofix,2.612,1504,9886,1.51222,0.214
0.3,0,ftr,11.322,5740,34113,1.4077000000000008,0.671
0.3,0,rnd,10.286,5113,31647,1.51222,0.52
0.3,0,agr,8.357,5113,30609,1.4974640000000006,0.419
0.3,0,agf,35.642,19003,103034,1.2452640000000008,1.418
0.3,0,rdr,31.975,17158,98086,1.4974640000000006,0.955
0.4,0,nofix,2.756,1504,9521,1.6722200000000007,0.21
0.4,0,ftr,11.211,5740,33603,1.5677000000000003,0.515
0.4,0,rnd,10.102,5113,30552,1.6722200000000011,0.434
0.4,0,agr,8.71,5113,29059,1.6694600000000008,0.48
0.4,0,agf,36.141,19003,103010,1.4172600000000002,1.396
0.4,0,rdr,32.157,17158,92722,1.6694600000000004,1.092
0.5,0,nofix,2.485,1504,8897,1.83222,0.223
0.5,0,ftr,11.034,5740,32979,1.7277000000000005,0.636
0.5,0,rnd,9.511,5113,28680,1.8322200000000006,0.424
0.5,0,agr,7.927,5113,27187,1.8374600000000005,0.452
0.5,0,agf,34.881,19003,102698,1.585260000000001,1.209
0.5,0,rdr,32.769,17158,86755,1.837460000000001,0.958
0.6,0,nofix,2.42,1504,8624,1.99222,0.214
0.6,0,ftr,10.338,5740,32979,1.8877000000000008,0.536
0.6,0,rnd,9.09,5113,27861,1.9922200000000005,0.509
0.6,0,agr,7.678,5113,26290,2.005460000000001,0.422
0.6,0,agf,33.608,19003,101567,1.7532600000000005,1.363
0.6,0,rdr,29.805,17158,84415,2.0054600000000007,1.309
0.7,0,nofix,2.282,1504,8526,2.1522200000000002,0.215
0.7,0,ftr,9.91,5740,32569,2.0477000000000003,0.519
0.7,0,rnd,8.721,5113,27665,2.1522200000000007,0.434
0.7,0,agr,8.205,5113,25744,2.173456000000001,0.491
0.7,0,agf,32.69,19003,99363,1.9212560000000014,1.513
0.7,0,rdr,27.872,17158,82014,2.173456000000001,1.104
0.8,0,nofix,2.281,1504,7902,2.31222,0.217
0.8,0,ftr,9.034,5740,32373,2.2077040000000006,0.528
0.8,0,rnd,8.051,5113,26046,2.3122200000000013,0.464
0.8,0,agr,7.016,5113,25050,2.341460000000001,0.576
0.8,0,agf,29.787,19003,99055,2.089260000000001,1.607
0.8,0,rdr,26.143,17158,80255,2.341460000000001,1.327
0.9,0,nofix,2.267,1504,7902,2.472220000000001,0.132
0.9,0,ftr,9.131,5740,32373,2.3677040000000007,0.579
0.9,0,rnd,8.356,5113,26046,2.472224000000001,0.489
0.9,0,agr,6.916,5113,24777,2.5094600000000016,0.439
0.9,0,agf,29.316,19003,97807,2.2572600000000014,1.437
0.9,0,rdr,26.159,17158,79709,2.509460000000001,1.255
1,0,nofix,2.273,1504,7902,2.6322200000000002,0.254
1,0,ftr,9.387,5740,32217,2.5277040000000004,0.414
1,0,rnd,7.857,5113,26046,2.632224000000001,0.432
1,0,agr,6.8,5113,24328,2.6774600000000013,0.539
1,0,agf,28.801,19003,95329,2.425260000000001,1.619
1,0,rdr,27.149,17158,78811,2.6774600000000017,1.391
