network uncertainty,mimicry_factor,strat,model construction,states,transitions,value,time
0,0.1,nofix,0.808,1309,5042,Infinity,0.032
0,0.1,ftr,1.975,5155,18600,Infinity,0.071
0,0.1,rnd,1.852,4528,16719,Infinity,0.06
0,0.1,agr,2.239,4528,17059,Infinity,0.064
0,0.1,agf,6.127,17248,62271,Infinity,0.159
0,0.1,rdr,5.361,15403,56056,Infinity,0.136
0,0.2,nofix,0.782,1309,5042,Infinity,0.026
0,0.2,ftr,2.012,5155,18600,Infinity,0.069
0,0.2,rnd,1.951,4528,16719,Infinity,0.071
0,0.2,agr,2.321,4528,17059,Infinity,0.061
0,0.2,agf,6.656,17248,62271,Infinity,0.162
0,0.2,rdr,5.314,15403,56056,Infinity,0.135
0,0.3,nofix,0.787,1309,5042,Infinity,0.027
0,0.3,ftr,2.199,5155,18600,Infinity,0.069
0,0.3,rnd,1.829,4528,16719,Infinity,0.062
0,0.3,agr,1.848,4528,17059,Infinity,0.059
0,0.3,agf,6.472,17248,62271,Infinity,0.168
0,0.3,rdr,5.465,15403,56056,Infinity,0.134
0,0.4,nofix,0.809,1309,5042,Infinity,0.032
0,0.4,ftr,2.071,5155,18600,Infinity,0.074
0,0.4,rnd,1.874,4528,16719,Infinity,0.06
0,0.4,agr,1.876,4528,17059,Infinity,0.061
0,0.4,agf,6.257,17248,62271,Infinity,0.165
0,0.4,rdr,5.493,15403,56056,Infinity,0.141
0,0.5,nofix,0.827,1309,5042,Infinity,0.032
0,0.5,ftr,2.082,5155,18600,Infinity,0.074
0,0.5,rnd,1.868,4528,16719,Infinity,0.066
0,0.5,agr,1.851,4528,17059,Infinity,0.066
0,0.5,agf,6.045,17248,62271,Infinity,0.167
0,0.5,rdr,5.391,15403,56056,Infinity,0.144
0,0.6,nofix,0.783,1309,5042,Infinity,0.027
0,0.6,ftr,2.047,5155,18600,Infinity,0.073
0,0.6,rnd,1.861,4528,16719,Infinity,0.06
0,0.6,agr,1.958,4528,17059,Infinity,0.061
0,0.6,agf,6.268,17248,62271,Infinity,0.215
0,0.6,rdr,8.452,15403,56056,Infinity,0.153
0,0.7,nofix,0.811,1309,5042,Infinity,0.032
0,0.7,ftr,2.115,5155,18600,Infinity,0.074
0,0.7,rnd,2.147,4528,16719,Infinity,0.075
0,0.7,agr,2.179,4528,17059,Infinity,0.069
0,0.7,agf,7.475,17248,62271,Infinity,0.235
0,0.7,rdr,6.126,15403,56056,Infinity,0.179
0,0.8,nofix,0.782,1309,5042,Infinity,0.031
0,0.8,ftr,2.088,5155,18600,Infinity,0.075
0,0.8,rnd,1.933,4528,16719,Infinity,0.066
0,0.8,agr,1.822,4528,17059,Infinity,0.065
0,0.8,agf,6.128,17248,62271,Infinity,0.175
0,0.8,rdr,5.31,15403,56056,Infinity,0.133
0,0.9,nofix,0.783,1309,5042,Infinity,0.026
0,0.9,ftr,2.107,5155,18600,Infinity,0.07
0,0.9,rnd,1.818,4528,16719,Infinity,0.064
0,0.9,agr,1.847,4528,17059,Infinity,0.059
0,0.9,agf,6.395,17248,62271,Infinity,0.169
0,0.9,rdr,5.503,15403,56056,Infinity,0.138
0,1,nofix,0.834,1309,5042,Infinity,0.031
0,1,ftr,2.319,5155,18600,Infinity,0.082
0,1,rnd,2.311,4528,16719,Infinity,0.065
0,1,agr,1.907,4528,17059,Infinity,0.065
0,1,agf,6.922,17248,62271,Infinity,0.167
0,1,rdr,5.624,15403,56056,Infinity,0.155
