equation_solving,vertices_number,network uncertainty,mimicry_factor,model construction,states,transitions,value,time
1.4933454059999984,10,0.1,0.1,165.516,96168,599673,0.84128,6.058
1.4729978469999983,10,0.1,0.2,146.573,96168,583033,1.09328,6.522
1.5051165289999993,10,0.1,0.3,169.584,96168,613696,1.3452799999999998,6.077
1.4425819800000008,10,0.1,0.4,165.582,96168,614580,1.59728,6.188
1.8451797549999958,10,0.1,0.5,178.063,96168,630947,1.8492799999999998,6.354
1.500253868,10,0.1,0.6,193.473,96168,631220,2.10128,7.118
1.586809719999996,10,0.1,0.7,201.017,96168,631298,2.35328,7.179
1.6134419469999999,10,0.1,0.8,181.92,96168,631337,2.6052799999999996,6.284
1.5058284649999985,10,0.1,0.9,196.647,96168,647041,2.8572800000000003,6.281
1.5401471610000015,10,0.1,1,202.782,96168,647587,3.10928,6.406
1.5168043640000024,10,0.2,0.1,165.423,96168,614753,1.0212800000000002,6.002
1.5448979140000039,10,0.2,0.2,143.966,96168,598113,1.2732799999999997,5.968
1.4897241959999996,10,0.2,0.3,133.098,96168,581473,1.5252800000000004,5.701
1.4674824529999997,10,0.2,0.4,128.214,96168,581473,1.77728,5.868
1.5082160820000043,10,0.2,0.5,154.998,96168,596494,2.0292800000000004,5.851
1.5791574500000065,10,0.2,0.6,164.952,96168,611473,2.2812799999999998,6.123
1.4854485429999993,10,0.2,0.7,154.069,96168,612357,2.5332800000000004,6.177
1.5192023520000033,10,0.2,0.8,165.329,96168,612981,2.78528,6.9
1.469943520999998,10,0.2,0.9,167.5,96168,628373,3.0372800000000004,6.362
1.4543425650000001,10,0.2,1,175.239,96168,628724,3.2892800000000006,6.237
1.469594816000001,10,0.3,0.1,193.127,96168,624609,1.1972600000000002,6.077
1.500868721000002,10,0.3,0.2,167.04,96168,595025,1.45328,6.123
1.4888795719999997,10,0.3,0.3,146.105,96168,576993,1.7052800000000006,6.006
1.4413644170000013,10,0.3,0.4,140.881,96168,576993,1.9572800000000004,5.77
1.4170742109999968,10,0.3,0.5,132.259,96168,562209,2.2092800000000006,6.012
1.480134466,10,0.3,0.6,130.972,96168,562209,2.46128,5.843
1.5091668970000043,10,0.3,0.7,140.036,96168,575098,2.7132800000000006,6.089
