maxTime,states,transitions,value,time
40,103618,2040677,15.47335200000002,43.853
41,104590,2047349,16.47335200000002,44.113
42,108370,2099585,16.493075000000022,51.263
43,112960,2200007,16.512798000000025,47.35
44,116362,2293301,16.532521000000013,50.498
45,116956,2305187,17.532521000000024,56.037
46,117928,2311859,18.532521000000024,55.561
47,121708,2364095,18.552244000000027,62.705
48,126298,2464517,18.571967000000026,64.876
49,129700,2557811,18.59169000000002,66.276
50,130294,2569697,19.59169000000003,72.954
51,131266,2576369,20.591690000000032,74.878
52,135046,2628605,20.61141300000002,73.553
53,139636,2729027,20.63113600000003,78.143
54,143038,2822321,20.65085900000003,80.746
