width,length,rob_x,rob_y,rig_x,rig_y,id,distance,states,transitions,value,time
6,6,5,5,5,5,2,0,1,1,0.0,0.011
6,6,5,5,5,5,15,0,1,1,0.0,0.01
6,6,4,4,5,5,11,1,3018,192140,0.7448524953465456,7.179
6,6,1,1,5,5,10,4,3018,192280,0.8468767328489504,3.092
6,6,2,2,5,5,5,3,3018,192140,0.9383012625987046,2.948
6,6,3,3,5,5,19,2,3018,192210,0.8067719421794803,3.753
6,6,0,0,5,5,2,5,3018,193890,0.9393507929078397,2.785
6,6,0,0,5,5,14,5,3018,193330,0.849847869517013,3.065
6,6,2,2,5,5,13,3,3018,192560,0.8846952910610277,4.551
6,6,5,5,5,5,3,0,1,1,0.0,0.006
6,6,3,3,5,5,17,2,3018,192490,0.8393835644311501,3.626
6,6,2,2,5,5,4,3,3018,192210,0.8440601612388187,4.198
6,6,0,0,5,5,3,5,3018,193680,0.91324814972357,16.247
6,6,5,5,5,5,11,0,1,1,0.0,0.005
6,6,5,5,5,5,0,0,1,1,0.0,0.005
6,6,4,4,5,5,15,1,3018,192560,0.6089002475106533,2.832
6,6,3,3,5,5,9,2,3018,191230,0.9044575854576684,3.532
6,6,0,0,5,5,0,5,3018,193260,0.9254982953699898,4.39
6,6,2,2,5,5,7,3,3018,193680,0.8592771276542466,3.595
6,6,1,1,5,5,14,4,3018,193330,0.8746753161946366,3.122
6,6,2,2,5,5,19,3,3018,192210,0.8299421082556065,4.265
6,6,0,0,5,5,10,5,3018,192280,0.833489120769549,2.619
6,6,5,5,5,5,1,0,1,1,0.0,0.005
6,6,2,2,5,5,17,3,3018,192490,0.9102050061265021,3.46
6,6,3,3,5,5,13,2,3018,192560,0.8782062339458182,3.95
6,6,3,3,5,5,8,2,3018,191860,0.8522662933850832,3.646
6,6,0,0,5,5,1,5,3018,193610,0.8467799543113074,7.317
6,6,2,2,5,5,6,3,3018,192140,0.9255883057038388,2.649
6,6,3,3,5,5,10,2,3018,192280,0.8269790347266667,2.503
6,6,1,1,5,5,8,4,3018,191860,0.8311569672690772,3.074
6,6,1,1,5,5,19,4,3018,192210,0.8077882060330528,3.14
6,6,2,2,5,5,14,3,3018,193330,0.8878485255221792,2.532
6,6,5,5,5,5,6,0,1,1,0.0,0.005
6,6,4,4,5,5,8,1,3018,191860,0.7817753523061173,3.398
6,6,2,2,5,5,1,3,3018,193610,0.865228391201901,8.988
6,6,0,0,5,5,6,5,3018,192140,0.8915934579733338,3.036
6,6,4,4,5,5,18,1,3018,193190,0.7241741648740092,5.449
6,6,1,1,5,5,9,4,3018,191230,0.9026968722887834,3.621
6,6,4,4,5,5,16,1,3018,192490,0.7097733477949235,3.379
6,6,5,5,5,5,12,0,1,1,0.0,0.005
6,6,5,5,5,5,7,0,1,1,0.0,0.005
6,6,0,0,5,5,13,5,3018,192560,0.8613024333976946,4.669
6,6,4,4,5,5,9,1,3018,191230,0.826962251830035,3.439
6,6,2,2,5,5,0,3,3018,193260,0.926174034408286,3.991
6,6,1,1,5,5,17,4,3018,192490,0.9141241307684357,3.786
6,6,0,0,5,5,7,5,3018,193680,0.8467301359807351,3.902
6,6,3,3,5,5,14,2,3018,193330,0.8628292755767407,2.975
6,6,5,5,5,5,4,0,1,1,0.0,0.006
6,6,0,0,5,5,19,5,3018,192210,0.7971162920490158,3.361
6,6,2,2,5,5,10,3,3018,192280,0.8506819790050619,2.825
6,6,5,5,5,5,18,0,1,1,0.0,0.005
6,6,0,0,5,5,4,5,3018,192210,0.8365495159921701,3.421
6,6,2,2,5,5,3,3,3018,193680,0.9090863850501925,14.949
6,6,4,4,5,5,12,1,3018,192840,0.6786247865035977,4.277
6,6,5,5,5,5,5,0,1,1,0.0,0.006
6,6,5,5,5,5,16,0,1,1,0.0,0.005
6,6,0,0,5,5,17,5,3018,192490,0.9008584947455018,3.758
6,6,0,0,5,5,5,5,3018,192140,0.8722135464983138,2.83
6,6,1,1,5,5,13,4,3018,192560,0.8809407931717183,3.998
6,6,2,2,5,5,2,3,3018,193890,0.9523945090267523,2.824
6,6,4,4,5,5,4,1,3018,192210,0.663459650085367,4.147
6,6,3,3,5,5,12,2,3018,192840,0.8301348320933137,3.488
6,6,3,3,5,5,3,2,3018,193680,0.8897090038757194,15.196
6,6,2,2,5,5,16,3,3018,192490,0.8451386404454626,3.619
6,6,1,1,5,5,4,4,3018,192210,0.8390481987962628,3.806
6,6,2,2,5,5,18,3,3018,193190,0.9093417709033101,5.312
6,6,0,0,5,5,11,5,3018,192140,0.8508051902095775,5.359
6,6,4,4,5,5,5,1,3018,192140,0.7597001045437604,2.692
6,6,1,1,5,5,15,4,3018,192560,0.9489639232173295,3.081
6,6,4,4,5,5,14,1,3018,193330,0.6722455275925276,2.905
6,6,5,5,5,5,10,0,1,1,0.0,0.007
6,6,3,3,5,5,2,2,3018,193890,0.9580666133889295,2.651
