width,length,rob_x,rob_y,rig_x,rig_y,id,states,transitions,value,time
10,3,0,0,9,2,0,2390,144541,0.9914596206912702,1.428
13,6,0,0,12,5,0,14183,925432,0.9953278380265604,20.517
11,4,0,0,10,3,0,4829,303038,0.9989905359339948,4.311
4,8,0,0,3,7,0,2300,149618,0.5708523698230836,3.009
3,12,0,0,2,11,0,2805,186305,0.28036397227807186,7.64
14,13,0,0,13,12,0,,,,
5,6,0,0,4,5,0,2095,134031,0.7808910977050697,1.392
9,14,0,0,8,13,0,34011,2320625,0.9745622507439641,135.45
3,2,0,0,2,1,0,105,5235,0.9238501645887764,0.072
2,6,0,0,1,5,0,334,20242,0.08283130626986988,0.194
10,5,0,0,9,4,0,5990,383285,0.9956413027882551,6.249
8,4,0,0,7,3,0,2552,158052,0.9910718291329617,1.522
13,9,0,0,12,8,0,30407,2034687,0.9893758195975197,75.201
9,2,0,0,8,1,0,963,54326,0.9999301003335219,0.374
13,3,0,0,12,2,0,4043,246663,0.9988176128538913,2.567
10,9,0,0,9,8,0,17990,1198156,0.9763931094852809,90.848
9,10,0,0,8,9,0,17811,1192297,0.9874492792074577,39.028
6,14,0,0,5,13,0,15114,1025468,0.733086806253034,38.554
8,7,0,0,7,6,0,7160,469480,0.8971562058534799,16.977
12,13,0,0,11,12,0,52404,3569790,0.9887996001151935,229.779
7,8,0,0,6,7,0,7049,465865,0.9179326908745424,11.665
2,12,0,0,1,11,0,1246,82090,0.01244402755037278,1.552
6,6,0,0,5,5,0,3018,193260,0.9254982953699898,3.903
7,2,0,0,6,1,0,581,32184,0.9939328494218036,0.233
8,12,0,0,7,11,0,19960,1352310,0.8903433856328311,119.648
7,14,0,0,6,13,0,20573,1395541,0.8860242475232025,65.488
11,14,0,0,10,13,0,50809,3464377,0.9777977657662174,391.127
4,2,0,0,3,1,0,188,9750,0.8985297068525708,0.094
5,12,0,0,4,11,0,7795,525271,0.6305303121751633,51.08
13,14,0,0,12,13,0,,,,
10,14,0,0,9,13,0,41990,2859646,0.9753055228276358,147.532
7,10,0,0,6,9,0,10773,721507,0.9069269486334023,23.021
9,8,0,0,8,7,0,11655,769373,0.9730566424225706,27.935
12,4,0,0,11,3,0,5748,362200,0.9973445123261842,4.619
3,8,0,0,2,7,0,1293,83593,0.3770474067379593,1.318
4,10,0,0,3,9,0,3516,233170,0.4897972104217446,10.204
5,11,0,0,4,10,0,6595,442843,,
13,2,0,0,12,1,0,2015,115990,0.999973665388987,0.801
2,10,0,0,1,9,0,878,56486,0.05554591034264365,1.159
6,2,0,0,5,1,0,426,23240,0.9875524172424012,0.165
7,6,0,0,6,5,0,4109,266323,0.9148526829774539,11.008
14,4,0,0,13,3,0,7826,494140,0.9928890607666272,7.772
4,6,0,0,3,5,0,1340,85096,0.5697393731056397,0.913
