instance,t,value,time,equation_solving,vertices_number,model_construction,states,transitions
5,50,0.2961903682546318,0.219,0.08900470599999993,8,0.545,10280,79064
5,100,0.5778278226127268,0.329,0.08900470599999993,8,0.545,10280,79064
5,150,0.6535787864610032,0.501,0.08900470599999993,8,0.545,10280,79064
5,200,0.6789714841337524,0.657,0.08900470599999993,8,0.545,10280,79064
5,250,0.6928769151425349,0.823,0.08900470599999993,8,0.545,10280,79064
5,350,0.7126020198671457,1.165,0.08900470599999993,8,0.545,10280,79064
5,400,0.7191731240248931,1.328,0.08900470599999993,8,0.545,10280,79064
5,450,0.7234495681081132,1.479,0.08900470599999993,8,0.545,10280,79064
5,500,0.7257952428140605,1.635,0.08900470599999993,8,0.545,10280,79064
10,50,0.0,3.727,0.2989289379999997,8,20.66,163160,1151576
10,100,0.12456834766910047,5.592,0.2989289379999997,8,20.66,163160,1151576
10,150,0.37150515080916946,7.765,0.2989289379999997,8,20.66,163160,1151576
10,200,0.5201014581229243,10.311,0.2989289379999997,8,20.66,163160,1151576
10,250,0.5758658650333061,12.817,0.2989289379999997,8,20.66,163160,1151576
10,350,0.610510679641884,19.924,0.2989289379999997,8,20.66,163160,1151576
10,400,0.6269702405713364,23.638,0.2989289379999997,8,20.66,163160,1151576
10,450,0.6390361850407258,24.891,0.2989289379999997,8,20.66,163160,1151576
10,500,0.6475309695263944,28.416,0.2989289379999997,8,20.66,163160,1151576
15,50,0.0,28.709,0.6794645500000007,8,283.853,821640,6017992
15,100,0.0,45.824,0.6794645500000007,8,283.853,821640,6017992
15,150,0.0554162010902632,57.314,0.6794645500000007,8,283.853,821640,6017992
15,200,0.2303872307307399,70.272,0.6794645500000007,8,283.853,821640,6017992
15,250,0.38630540509273714,101.862,0.6794645500000007,8,283.853,821640,6017992
15,350,0.5475770038237422,131.997,0.6794645500000007,8,283.853,821640,6017992
15,400,0.5861123827702678,172.57,0.6794645500000007,8,283.853,821640,6017992
15,450,0.617734506933763,193.196,0.6794645500000007,8,283.853,821640,6017992
15,500,0.6476903214868656,180.929,0.6794645500000007,8,283.853,821640,6017992
