instance,t,model construction,states,transitions,value,time
5,50,0.562,10280,71192,0.25803795305735405,0.23
5,100,,,,0.6736638822538878,0.314
5,150,,,,0.7710544713869771,0.55
5,200,,,,0.7939424865453775,0.649
5,250,,,,0.7993473271504165,1.107
5,350,,,,0.8041528751540183,1.395
5,400,,,,0.8070249131322853,1.397
5,450,,,,0.8095835494452106,1.529
5,500,,,,0.8123036089694093,1.865
10,50,23.641,163160,1182068,0.0,4.11
10,100,,,,0.06646504509135381,6.029
10,150,,,,0.19595490247348746,8.715
10,200,,,,0.3834169616459606,11.848
10,250,,,,0.5172152235189813,13.322
10,350,,,,0.6960809016303755,21.225
10,400,,,,0.756260142449729,20.902
10,450,,,,0.7982729387929092,24.513
10,500,,,,0.8330227882664228,28.444
15,50,408.762,821640,5910472,0.0,46.322
15,100,,,,0.0,58.956
15,150,,,,0.03265164464373434,68.58
15,200,,,,0.19476657459529018,86.595
15,250,,,,0.3136831276071989,113.348
15,350,,,,0.48141250292113835,141.52
15,400,,,,0.5333125359132124,137.704
15,450,,,,0.5625268235235346,174.267
15,500,,,,0.5811815125374551,161.486
