Lower Bound,Upper Bound,model construction,states,transitions,value,time
0.0,0.0,0.086,157,388,0.0,0.007
0.0,0.1,18.46,163160,972188,0.6529581659281921,124.828
0.1,0.1,20.1,163160,1002680,0.6769573614037248,83.699
0.0,0.2,24.976,163160,987236,0.725591704410655,163.354
0.1,0.2,23.211,163160,1017728,0.7865149959658553,134.829
0.2,0.2,20.573,163160,1054160,0.707630276064541,111.44
0.0,0.3,20.369,163160,1017728,0.7744172694954272,140.607
0.1,0.3,29.755,163160,1033172,0.7652035985529392,146.125
0.2,0.3,25.217,163160,1069604,0.758991635647677,119.65
0.3,0.3,22.839,163160,1183058,0.8206054896488777,236.12
0.0,0.4,24.513,163160,1093364,0.7408152851201967,172.603
0.1,0.4,25.845,163160,1117916,0.8028315571099807,283.061
0.2,0.4,30.713,163160,1186820,0.7597728598995325,135.666
0.3,0.4,22.996,163160,1222856,0.8866872671393664,116.517
0.4,0.4,24.686,163160,1303838,0.7797907337697019,145.156
0.0,0.5,25.256,163160,1085246,0.6645489459764532,123.392
0.1,0.5,32.201,163160,1190780,0.972132247891351,268.623
0.2,0.5,31.351,163160,1291166,0.7009824463414256,112.032
0.3,0.5,34.541,163160,1319480,0.9127450159332161,191.081
0.4,0.5,30.936,163160,1532726,0.8130754569305106,415.033
0.5,0.5,43.255,163160,1730726,0.8716616386293314,673.04
